,upgrade_cost,vehicle_url
0,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-police-prison-bus
1,"
Total Cost to Fully Upgrade in GTA Online
$196,000
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bf-ramp-buggy
2,"
Total Cost to Fully Upgrade in GTA Online
$453,250
",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-br8-f1
3,"
Total Cost to Fully Upgrade in GTA Online
$254,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-howard-nx-25
4,"
Total Cost to Fully Upgrade in GTA Online
$353,250
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-gb200
5,"
Total Cost to Fully Upgrade in GTA Online
$753,990
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tornado-custom
6,"
Total Cost to Fully Upgrade in GTA Online
$133,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-stallion
7,"
Total Cost to Fully Upgrade in GTA Online
$176,750
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-granger
8,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/submersible
9,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/maibatsu-frogger
10,"
Total Cost to Fully Upgrade in GTA Online
$315,650
",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-schafter-lwb
11,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-marquis
12,"
Total Cost to Fully Upgrade in GTA Online
$1,828,820
",https://www.gtabase.com//grand-theft-auto-v/vehicles/deathbike-arena
13,"
Total Cost to Fully Upgrade in GTA Online
$111,000
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-akuma
14,"
Total Cost to Fully Upgrade in GTA Online
$1,581,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/grotti-brioso-r-a
15,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/police-rancher
16,"
Total Cost to Fully Upgrade in GTA Online
$401,725
",https://www.gtabase.com//grand-theft-auto-v/vehicles/weeny-issi-classic
17,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/cargo-plane
18,"
Total Cost to Fully Upgrade in GTA Online
$176,750
",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-rebel
19,"
Total Cost to Fully Upgrade in GTA Online
$454,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-dr1-f1
20,"
Total Cost to Fully Upgrade in GTA Online
$317,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tampa
21,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/kosatka-submarine-hq
22,"
Total Cost to Fully Upgrade in GTA Online
$169,820
",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-futo
23,"
Total Cost to Fully Upgrade in GTA Online
$113,480
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-ruffian
24,"
Total Cost to Fully Upgrade in GTA Online
$664,914
",https://www.gtabase.com//grand-theft-auto-v/vehicles/calico-gtf
25,"
Total Cost to Fully Upgrade in GTA Online
$349,560
",https://www.gtabase.com//grand-theft-auto-v/vehicles/freecrawler
26,"
Total Cost to Fully Upgrade in GTA Online
$392,600
",https://www.gtabase.com//grand-theft-auto-v/vehicles/comet-s2-cabrio
27,"
Total Cost to Fully Upgrade in GTA Online
$724,510
",https://www.gtabase.com//grand-theft-auto-v/vehicles/rc-bandito
28,"
Total Cost to Fully Upgrade in GTA Online
$345,180
",https://www.gtabase.com//grand-theft-auto-v/vehicles/swinger
29,"
Total Cost to Fully Upgrade in GTA Online
$338,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/clique
30,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/mtl-dune
31,"
Total Cost to Fully Upgrade in GTA Online
$318,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-sc1
32,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-dozer
33,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/metro-train
34,"
Total Cost to Fully Upgrade in GTA Online
$196,700
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bollokan-prairie
35,"
Total Cost to Fully Upgrade in GTA Online
$514,379
",https://www.gtabase.com//grand-theft-auto-v/vehicles/10f-widebody
36,"
Total Cost to Fully Upgrade in GTA Online
$735,650
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lf-22-starling
37,"
Total Cost to Fully Upgrade in GTA Online
$374,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ocelot-xa-21
38,"
Total Cost to Fully Upgrade in GTA Online
$526,879
",https://www.gtabase.com//grand-theft-auto-v/vehicles/comet-s2
39,"
Total Cost to Fully Upgrade in GTA Online
$813,010
",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-tula
40,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-unmarked-cruiser
41,"
Total Cost to Fully Upgrade in GTA Online
$293,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-fmj
42,"
Total Cost to Fully Upgrade in GTA Online
$2,643,430
",https://www.gtabase.com//grand-theft-auto-v/vehicles/scarab-arena
43,"
Total Cost to Fully Upgrade in GTA Online
$132,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vulcar-ingot
44,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/mtl-fire-truck
45,"
Total Cost to Fully Upgrade in GTA Online
$140,380
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-blista-go-go-monkey
